,A,B,C,D
0,88,10,36,59
1,99,70,33,13
2,57,94,59,9
3,69,35,30,13
4,38,82,32,30
5,91,33,19,6
6,33,37,53,23
7,95,8,60,24
8,17,48,23,94
9,55,4,20,92
10,62,61,41,52
11,94,61,67,76
12,53,21,77,84
13,31,34,60,44
14,48,90,39,11
15,68,5,68,10
16,97,46,75,24
17,18,94,85,51
18,21,86,3,23
19,92,70,15,80
20,6,30,5,55
21,36,66,88,81
22,79,83,6,31
23,46,73,0,63
24,24,52,5,46
25,1,22,77,41
26,16,86,29,63
27,86,69,27,36
28,47,75,72,34
29,11,41,38,59
30,17,0,20,82
31,1,2,38,95
32,25,75,99,41
33,42,92,26,14
34,54,5,76,3
35,73,36,21,37
36,0,17,52,32
37,92,16,54,17
38,78,41,43,50
39,94,10,67,54
40,39,61,77,76
41,85,80,11,93
42,98,15,16,60
43,80,8,25,4
44,53,7,39,98
45,40,35,5,10
46,45,60,31,30
47,92,37,13,85
48,46,77,12,27
49,12,39,18,73
50,25,13,58,33
51,73,39,94,92
52,15,89,88,47
53,56,30,9,63
54,43,52,47,95
55,96,93,46,60
56,28,70,10,20
57,7,31,10,60
58,27,27,89,55
59,50,34,23,94
60,6,6,91,89
61,45,62,11,51
62,27,8,6,0
63,34,55,17,61
64,51,83,62,32
65,35,28,1,23
66,82,88,33,47
67,33,75,86,64
68,80,12,15,81
69,19,79,5,21
70,2,78,44,52
71,25,66,52,95
72,71,68,16,0
73,49,18,22,30
74,32,31,43,21
75,2,86,8,45
76,42,54,61,45
77,16,94,30,74
78,24,17,56,17
79,33,83,68,51
80,68,0,64,73
81,48,91,81,23
82,15,47,95,1
83,67,48,35,81
84,85,15,21,42
85,12,95,18,11
86,36,56,74,76
87,55,13,4,29
88,23,92,15,40
89,42,83,66,30
90,89,25,78,72
91,46,7,71,67
92,13,72,8,69
93,65,13,55,85
94,14,0,9,95
95,85,38,6,56
96,52,87,26,82
97,91,96,99,24
98,73,85,94,27
99,53,98,54,10
